id,title,original_language,overview,poster_path,genre_ids,popularity,release_date,vote_average,vote_count
279016,Lady Peacock,en,"Let the drag-off begin! When Conner first meets Devin, he feels an instant attraction to him. However, soon Conner's nemesis, the Puerto Rican drag queen Adora wants Devin all to herself. Conner soon realizes the only way to compete with a drag queen is to become a drag queen. With the help of his club friends, Conner must make it his mission to destroy Adora if he wants to win back Devin.",/vUVUFAYRVbNV2ogPxRfpiPcGiKx.jpg,"[10749, 35]",1.498,2014-01-01,6.0,7
210894,An Affirmative Act,en,"""An Affirmative Act"" is pro-gay marriage film, starring Charles Durning, Eric Etebari, Costas Mandylor, Rachael Robbins, and Blanche Baker, about a lesbian couple where one pretends to be a man in order for the two to get married and equal benefits. A slice of life of a young, professional married couple with their darling baby turns a sharp, dark corner when the pair are arrested and charged with several counts of fraud. The reason: Terry and Samantha Succi aren't the man and woman that they purported to be... Terry and Samantha married under false pretenses, ignoring state law that discriminates against homosexual partners and prohibits them from receiving the same rights and benefits as their straight counterparts.",/x9oa4QRrUwz3PRzYRf2qC8FXt20.jpg,[],1.999,2010-06-04,2.9,7
320701,The Coffee Shop,en,"The Coffee Shop takes place in a gay owned, rainbow-friendly New York restaurant and coffee house where love is constantly tossed into the blender.",/elV0ZABe7IJpqfmKFbPeRsWuagv.jpg,"[18, 10749]",1.39,2014-01-01,5.2,6
27205,Inception,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,"[28, 878, 12]",90.791,2010-07-15,8.367,35184
7326,Juno,en,"Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.",/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,"[35, 18, 10749]",26.065,2007-12-05,7.05,6861
177354,Stud Life,en,"Stud lesbian JJ works with her gay best friend Seb as wedding photographers. When JJ falls in love with a beautiful diva, JJ and Seb's friendship is tested, and she’s forced to chose between her hot new lover and her best friend.",/4VGxuafg0atOEnlfO6Ca40l27Zn.jpg,"[18, 10749]",3.299,2012-03-22,3.8,11
631276,DES!RE,en,"An experimental film exploring desire for transmasculine, butch, stud, and masculine of centre (MOC) people assigned female at birth.",/weVgZgo729G4bYrZQMwXz0C5PDO.jpg,[],0.6,2017-09-27,7.0,2
179447,Fem,en,"Portraying femininity from ancient mythology and popular cinematic culture, Fem subverts images of empowered women to experimental and lyrical effect, with a butch narration from Peggy Shaw of UK Lesbian Feminist Theatre Company ‘Split Britches’.",,[],0.0,2007-11-16,1.0,1
1121353,A Drive to Top Surgery,en,"In a powerful and evocative continuous take of video, we accompany a young transgender person and their family on the journey to their top surgery.",,[],1.4,2023-05-04,0.0,0
61012,Silent Hill: Revelation 3D,en,"Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.",/9ZDOzeSzjurGnQYokbRI0hJnmk6.jpg,"[53, 27, 9648]",25.013,2012-10-10,5.5,1517
61012,Silent Hill: Revelation 3D,en,"Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.",/9ZDOzeSzjurGnQYokbRI0hJnmk6.jpg,"[53, 27, 9648]",25.013,2012-10-10,5.5,1517
865797,Biosphere,en,"In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity.",/2yqYQMibudBGrqP70mEcv7pNOQX.jpg,"[35, 18, 878, 14]",4.534,2023-07-07,4.796,27
496863,XY Chelsea,en,"The historic story of whistleblower Chelsea Manning. Shot over two years and featuring exclusive interviews and behind-the-scenes verité with Manning, the film picks up on the momentous day in May when she leaves prison and follows her through her journey of discovery.",/vpa3T9OV5mduslVjtKZ0PCGzlEj.jpg,[99],1.489,2019-05-24,6.3,15
350916,Spidarlings,en,"Poverty stricken lovers Eden and Matilda have enough trouble just getting through the days, but when Eden buys a pet spider the real troubles start.",/85D1BQK3GPyXB3cHFaPCuWBLaqK.jpg,"[53, 27, 10402, 35]",1.025,2016-10-31,5.4,5
522547,Grindsploitation 4: Meltsploitation,en,"Grindsploitation 4 is going to be nastier than ever, more shocking, more gore, more blood. Killer faux grindhouse film trailers a homage to the video nasty era of films.",/zSzjCxc0NVviI3wBYEbrCzGlbTs.jpg,[27],1.205,2018-05-01,6.0,3
326197,Trashtastic,en,A collection of Trailers from Low Budget Underground Horror Movies from across the globe,,"[35, 27, 28]",0.654,2013-10-10,5.5,2
634022,Waking Hour,en,"A young trans woman is pursued by a potential lover at a party. As she balances concerns about her safety and her desire for intimacy, she must figure out what she wants before she can go for it.",/jznXxLXZ8ilNiAXHjOBO5vVrYyN.jpg,[],1.349,2019-03-04,0.0,0
212812,The Out List,en,"Through the voices of Americans from all walks of life, The Out List explores the identities of the lesbian, gay, bisexual, and transgender community in America. In this series of intimate interviews, a diverse group of LGBTQ personalities bring color and depth to their experiences of gender and sexuality. With wit and wisdom, this set of trailblazing individuals weaves universal themes of love, loss, trial, and triumph into the determined struggle for full equality.",/5WWDLqUDqAlDlxsMbAG1yHEUGt0.jpg,[99],2.363,2013-06-26,6.1,22
728212,Between the World and Me,en,"Based on Ta-Nehisi Coates’ #1 New York Times bestseller and originally adapted and staged by the Apollo Theater, this special combines elements of that production - including powerful readings from Coates’ book - with documentary footage from the actors’ home life, archival footage, and animation.",/rHntazEQuvO0wSplvOxf5wNdvFO.jpg,"[99, 18]",6.697,2020-11-21,7.9,7
490780,Dark Money,en,"'Dark money' contributions, made possible by the U.S. Supreme Court's Citizens United ruling, flood modern American elections — but Montana is showing Washington D.C. how to solve the problem of unlimited anonymous money in politics.",/tXXq3iBWIs9X1LWSCGLoDGbYNHO.jpg,[99],2.356,2018-01-22,6.8,17
46391,Prodigal Sons,en,"Filmmaker Kimberly Reed returns home for her high school reunion, ready to reintroduce herself to the small town as a transgender woman and hoping for reconciliation with her long-estranged adopted brother Marc. Things are complicated by the shocking revelation that Marc may be the grandson of Orson Welles and Rita Hayworth, forcing Kim and her family to explore questions of sexual orientation, identity, severe trauma and love.",/tKteCP6uovM3zEtD6HEcFfKu1eX.jpg,[99],1.96,2008-08-29,5.375,16
583143,Lingua Franca,en,"Olivia, an undocumented Filipina immigrant paranoid about deportation works as a caregiver to a Russian-Jewish grandmother in Brighton Beach, Brooklyn, NY. When the man she’s secretly paying for a green card marriage backs out, she becomes involved with a slaughterhouse worker who is unaware that she’s a trans woman.",/20HKDrU2QccbEqzHmPJZRzMPoJM.jpg,[18],2.21,2020-07-01,6.3,15
799632,Shangri-La,en,"It’s California, during the Great Depression. A woman is confiding her most intimate thoughts in a church confessional, while the man on the other side listens silently and intently. But this is no ordinary religious ritual seeking salvation. The woman — a second generation Filipino farmhand — is rapt in roleplay reverie, her sensuous words aimed at her white American lover, during a historic period when such interracial relationships were forbidden by state law. The confession box transforms into a romantic time machine, ecstatic and melancholic, traveling into alternate futures. She manifests as multiple, dazzling women, and they can love freely. This is the 21st commission from Miu Miu Women's Tales​ series.",/2yaVYSfY3Ek5SdozYrQmOpyRTPN.jpg,"[18, 10749]",0.787,2021-02-23,5.5,6
1058678,Kokomo City,en,Four Black transgender sex workers in Atlanta and New York City break down the walls of their profession.,/3LehvN7fYx3p4yaPDh8pktXdIo2.jpg,[99],4.967,2023-07-28,7.4,7
369403,"Happy Birthday, Marsha!",en,"It's a hot summer day in June, 1969. Marsha throws herself a birthday party and dreams of performing at a club in town, but no one shows up. Sylvia, Marsha’s best friend, distraught from an unsuccessful introduction between her lover and her family, gets so stoned she forgets about the party. Marsha, Sylvia, and friends eventually meet at the Stonewall Inn to celebrate Marsha's birth. When the police arrive to raid the bar, Marsha and Sylvia are among the first to fight back.",/swu2EWvICxYtZxLTfXHOyWfTr8N.jpg,"[18, 36]",0.887,2018-03-10,1.0,1
